Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
path,github.com/IBM/data-privacy-toolkit,https://sourcegraph.com/github.com/IBM/data-privacy-toolkit,library/src/main/resources/identifier/common/public_suffix_list.dat,https://sourcegraph.com/github.com/IBM/data-privacy-toolkit/-/blob/library/src/main/resources/identifier/common/public_suffix_list.dat,"[library/src/main/resources/identifier/common/public_suffix_list.dat, [[45, 67]]]",
path,github.com/zhupingqi/RuiJi.Net,https://sourcegraph.com/github.com/zhupingqi/RuiJi.Net,RuiJi.Net.Core/public_suffix_list.dat,https://sourcegraph.com/github.com/zhupingqi/RuiJi.Net/-/blob/RuiJi.Net.Core/public_suffix_list.dat,"[RuiJi.Net.Core/public_suffix_list.dat, [[15, 37]]]",
path,github.com/gorhill/publicsuffixlist.js,https://sourcegraph.com/github.com/gorhill/publicsuffixlist.js,docs/public_suffix_list.dat,https://sourcegraph.com/github.com/gorhill/publicsuffixlist.js/-/blob/docs/public_suffix_list.dat,"[docs/public_suffix_list.dat, [[5, 27]]]",
path,github.com/win-acme/win-acme,https://sourcegraph.com/github.com/win-acme/win-acme,src/main.test/public_suffix_list.dat,https://sourcegraph.com/github.com/win-acme/win-acme/-/blob/src/main.test/public_suffix_list.dat,"[src/main.test/public_suffix_list.dat, [[14, 36]]]",
path,github.com/win-acme/win-acme,https://sourcegraph.com/github.com/win-acme/win-acme,dist/public_suffix_list.dat,https://sourcegraph.com/github.com/win-acme/win-acme/-/blob/dist/public_suffix_list.dat,"[dist/public_suffix_list.dat, [[5, 27]]]",
path,github.com/Strimoid/Strimoid,https://sourcegraph.com/github.com/Strimoid/Strimoid,resources/public_suffix_list.dat,https://sourcegraph.com/github.com/Strimoid/Strimoid/-/blob/resources/public_suffix_list.dat,"[resources/public_suffix_list.dat, [[10, 32]]]",
path,github.com/LennysLounge/ACC-Race-Control,https://sourcegraph.com/github.com/LennysLounge/ACC-Race-Control,base/src/dist/jre/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/LennysLounge/ACC-Race-Control/-/blob/base/src/dist/jre/lib/security/public_suffix_list.dat,"[base/src/dist/jre/lib/security/public_suffix_list.dat, [[31, 53]]]",
path,github.com/AdguardTeam/AdguardForiOS,https://sourcegraph.com/github.com/AdguardTeam/AdguardForiOS,Libs/DomainParser/Resources/public_suffix_list.dat,https://sourcegraph.com/github.com/AdguardTeam/AdguardForiOS/-/blob/Libs/DomainParser/Resources/public_suffix_list.dat,"[Libs/DomainParser/Resources/public_suffix_list.dat, [[28, 50]]]",
path,github.com/AdguardTeam/AdguardForiOS,https://sourcegraph.com/github.com/AdguardTeam/AdguardForiOS,AdGuardSDK/AdGuardSDK/DNS/Statistics/CompaniesStatistics/DomainParser/Resources/public_suffix_list.dat,https://sourcegraph.com/github.com/AdguardTeam/AdguardForiOS/-/blob/AdGuardSDK/AdGuardSDK/DNS/Statistics/CompaniesStatistics/DomainParser/Resources/public_suffix_list.dat,"[AdGuardSDK/AdGuardSDK/DNS/Statistics/CompaniesStatistics/DomainParser/Resources/public_suffix_list.dat, [[80, 102]]]",
path,github.com/Y0-kan/YoScan,https://sourcegraph.com/github.com/Y0-kan/YoScan,module/tools/OneForAll/data/public_suffix_list.dat,https://sourcegraph.com/github.com/Y0-kan/YoScan/-/blob/module/tools/OneForAll/data/public_suffix_list.dat,"[module/tools/OneForAll/data/public_suffix_list.dat, [[28, 50]]]",
path,github.com/HMCL-dev/HMCL-PE-CN,https://sourcegraph.com/github.com/HMCL-dev/HMCL-PE-CN,HMCLPE/src/main/assets/app_runtime/java/JRE17/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/HMCL-dev/HMCL-PE-CN/-/blob/HMCLPE/src/main/assets/app_runtime/java/JRE17/lib/security/public_suffix_list.dat,"[HMCLPE/src/main/assets/app_runtime/java/JRE17/lib/security/public_suffix_list.dat, [[59, 81]]]",
